,back_legroom,city_fuel_economy,daysonmarket,dealer_zip,engine_displacement,franchise_dealer,front_legroom,fuel_tank_volume,height,highway_fuel_economy,horsepower,is_new,latitude,length,longitude,mileage,savings_amount,seller_rating,wheelbase,width,year,price,max_torque,torque_rpm,horsepower_rpm,seating_capacity,engine_displacement_liters,cylinders,body_type_Hatchback,body_type_Pickup Truck,body_type_SUV / Crossover,body_type_Sedan,body_type_other,city_Bohemia,city_East Hartford,city_Stamford,city_West Nyack,city_other,engine_type_I4 Hybrid,engine_type_I6,engine_type_V6,engine_type_V8,engine_type_other,exterior_color_Blue,exterior_color_Gray,exterior_color_Summit White,exterior_color_White,exterior_color_other,fuel_type_Electric,fuel_type_Flex Fuel Vehicle,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_other,interior_color_Black (Ebony),interior_color_Gray,interior_color_Jet Black,interior_color_None,interior_color_other,listed_date_03-09-20,listed_date_05-09-20,listed_date_20-08-20,listed_date_27-08-20,listed_date_other,listing_color_GRAY,listing_color_SILVER,listing_color_UNKNOWN,listing_color_WHITE,listing_color_other,make_name_Ford,make_name_Hyundai,make_name_Jeep,make_name_Kia,make_name_other,maximum_seating_5 seats,maximum_seating_6 seats,maximum_seating_7 seats,maximum_seating_8 seats,maximum_seating_other,model_name_Equinox,model_name_Grand Cherokee,model_name_Sonata,model_name_Tucson,model_name_other,power_other,torque_267 lb-ft @ 267 RPM,torque_other,transmission_CVT,transmission_Dual Clutch,transmission_M,transmission_display_6-Speed Automatic Overdrive,transmission_display_8-Speed Automatic,transmission_display_Automatic,transmission_display_Continuously Variable Transmission,transmission_display_other,wheel_system_4X2,wheel_system_AWD,wheel_system_FWD,wheel_system_RWD
0,0.7052631578947368,0.09401709401709402,0.028653295128939826,0.2091713096249042,0.16666666666666669,False,0.1762820512820513,0.14871794871794872,0.20701168614357268,0.13761467889908258,0.18080667593880387,False,0.9176709873986625,0.23035952063914777,0.5813302970752294,0.12209208707408589,0.11889696117490824,0.5865384615,0.18384074941452003,0.4069478908188584,0.9069767441860463,9.975575628930383,0.21370499419279904,0.15873015873015872,0.6202531645569621,0.23076923076923078,0.16666666666666669,0.1111111111111111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0.7747368421052631,0.07692307692307691,0.09169054441260745,0.13562270872599988,0.2166666666666667,True,0.2243589743589744,0.16666666666666666,0.2971619365609348,0.11009174311926606,0.27399165507649514,False,0.9230510573559744,0.2636484687083889,0.5520935401054297,0.16367862188397211,0.05780798375126944,0.9375,0.1791569086651055,0.4590570719602973,0.9069767441860463,10.019446703703723,0.26248548199767713,0.2857142857142857,0.6202531645569621,0.23076923076923078,0.2166666666666667,0.1111111111111111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0.7747368421052631,0.07692307692307691,0.020057306590257878,0.13562270872599988,0.2166666666666667,True,0.2243589743589744,0.16666666666666666,0.2971619365609348,0.11009174311926606,0.27399165507649514,False,0.9230510573559744,0.2636484687083889,0.5520935401054297,0.05133907548344954,0.06499492227169754,0.9375,0.1791569086651055,0.4590570719602973,0.9069767441860463,10.118558608759452,0.26248548199767713,0.2857142857142857,0.6202531645569621,0.23076923076923078,0.2166666666666667,0.1111111111111111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0.6378947368421053,0.1282051282051282,0.01862464183381089,0.1392058988007705,0.13333333333333336,False,0.21794871794871823,0.10769230769230767,0.12020033388981644,0.21100917431192662,0.08623087621696801,False,0.9208859072512027,0.2390146471371506,0.5636765728236657,0.5513223655227939,0.07679087571283494,0.6444444445,0.1604215456674474,0.08188585607940468,0.7441860465116292,8.229511118964457,0.0627177700348432,0.6507936507936508,0.7215189873417722,0.23076923076923078,0.13333333333333336,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4,0.8126315789473685,0.09401709401709402,0.020057306590257878,0.13562270872599988,0.16666666666666669,True,0.2371794871794874,0.1846153846153846,0.27212020033388984,0.14678899082568808,0.23922114047287898,True,0.9230510573559744,0.27296937416777634,0.5520935401054297,4.557261996992207e-05,0.0,0.9375,0.18852459016393458,0.43176178660049613,0.9767441860465098,10.613221410450464,0.23344947735191635,0.4444444444444444,0.6202531645569621,0.23076923076923078,0.16666666666666669,0.1111111111111111,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
5,0.84,0.09401709401709402,0.30515759312320917,0.22335908535448729,0.08333333333333336,True,0.16346153846153852,0.1692307692307692,0.29382303839732904,0.13761467889908258,0.12795549374130735,True,0.9158625949816085,0.2896138482023969,0.6069541988493599,0.078940892311899,0.0,0.6119402985,0.19555035128805637,0.17369727047146388,0.9767441860465098,10.19779761127813,0.14982578397212543,0.2857142857142857,0.6329113924050633,0.23076923076923078,0.08333333333333336,0.1111111111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6,0.9347368421052631,0.05128205128205128,0.2593123209169054,0.2091713096249042,0.5666666666666668,False,0.1794871794871795,0.2974358974358975,0.1736227045075126,0.11009174311926606,0.5104311543810849,False,0.9176709873986625,0.4460719041278296,0.5813302970752294,0.1529477889683878,0.5922193578626671,0.5865384615,0.41920374707259966,0.4913151364764268,0.9302325581395365,10.531962869735489,0.470383275261324,0.25396825396825395,0.6202531645569621,0.23076923076923078,0.5666666666666669,0.5555555555555556,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7,0.9515789473684211,0.04273504273504274,0.5816618911174785,0.10741285391769019,0.7833333333333335,True,0.16346153846153852,0.4358974358974359,0.4974958263772955,0.07339449541284404,0.4408901251738526,True,0.958357766450835,0.6211717709720372,0.6400282459588024,6.683984262255237e-05,0.0,0.8444444444999999,0.6323185011709603,0.4094292803970223,0.9767441860465098,10.473732365994739,0.39024390243902435,0.5952380952380952,0.6329113924050633,0.3076923076923077,0.7833333333333335,0.5555555555555556,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,0.8105263157894737,0.059829059829059825,0.35673352435530087,0.2091713096249042,0.3333333333333334,False,0.14423076923076936,0.4461538461538461,0.41736227045075114,0.08256880733944955,0.3949930458970793,False,0.9176709873986625,0.4127829560585885,0.5813302970752294,0.04834951161342266,0.20803062260760882,0.5865384615,0.35714285714285726,0.46401985111662514,0.9069767441860463,10.703132102290963,0.34262485481997673,0.20634920634920634,0.5569620253164558,0.3846153846153847,0.3333333333333334,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
9,0.8063157894736841,0.07692307692307691,0.055873925501432664,0.1392058988007705,0.41666666666666674,False,0.19230769230769224,0.17692307692307693,0.3088480801335558,0.11926605504587157,0.2656467315716272,False,0.9208859072512027,0.27629826897470044,0.5636765728236657,0.6726397180573911,0.029138348566518247,0.6444444445,0.16510538641686193,0.14640198511166247,0.6744186046511587,8.422882511944996,0.19976771196283388,0.7142857142857143,0.708860759493671,0.3846153846153847,0.41666666666666674,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
